mid,code,libelle_officiel,chapitre,niveau,type_noeud,source,table_attache,texte,texte_divergent,patron,classe_proposee,destination_proposee,motif,peremption_suspecte,peremption_motif,version_regle
216,P21,Asphyxie obstétricale,XVI,3,categorie,E,NOTE,Cette catégorie ne peut être utilisée pour un indice d'Apgar bas sans mention d'asphyxie ou d'autres problèmes respiratoires.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
219,R03.0,"Constatation d'une élévation de la tension artérielle, sans diagnostic d'hypertension",XVIII,4,sous_categorie,E,NOTE,"Cette catégorie doit être utilisée pour enregistrer soit un épisode  hypertensif chez un malade pour lequel aucun diagnostic formel d'hypertension n'a été porté, soit une découverte fortuite isolée.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
221,S02,Fracture du crâne et des os de la face,XIX,3,categorie,E,NOTE,"Pour coder une cause principale de fracture du crâne et des os de la face associée à une lésion traumatique intracrânienne, se référer aux règles et instructions du Volume 2 concernant le codage de la morbidité ou de la mortalité.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
222,S06,Lésion traumatique intracrânienne,XIX,3,categorie,E,NOTE,"Pour coder une cause principale de lésion traumatique intracrânienne associée à des fractures, se référer aux règles et instructions du Volume 2 concernant le codage de la morbidité ou de la mortalité.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
225,T78,"Effets indésirables, non classés ailleurs",XIX,3,categorie,E,NOTE,"Cette catégorie doit être utilisée comme code principal afin d'identifier les effets indésirables de causes inconnues, indéterminées ou mal définies, non classés ailleurs. Elle peut être utilisée comme code supplémentaire pour le codage des causes multiples afin d'identifier les effets indésirables d'états classés ailleurs.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
614,Y36,Faits de guerre,XX,3,categorie,E,NOTE,Les blessures par fait de guerre survenus après l'arrêt des hostilités sont classées en Y36.8,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
611,Z37,Résultat de l'accouchement,XXI,3,categorie,E,NOTE,Cette catégorie sera utilisée comme code additionnel pour identifier le résultat de l'accouchement sur le dossier de la mère,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
618,(F00-F99),"",V,1,chapitre,N,NOTE,"Ce chapitre a été partiellement étendu par des informations provenant de la Classification internationale des troubles mentaux et des troubles du comportement, une publication officielle de l'OMS.",false,historique_classification,convention_classement,non_rendue,note historique/éditoriale de la classification,false,"",v1
230,B03,Variole,I,3,categorie,N,NOTE,"En mai 1980, la 33ème Assemblée mondiale de la Santé a officiellement déclaré que la variole était éradiquée. La classification est maintenue à des fins de surveillance.",false,historique_classification,convention_classement,non_rendue,note historique/éditoriale de la classification,false,"",v1
598,(M00-M03),Arthropathies infectieuses,XIII,3,subdivision,G,GLOSSAIRE,"Cette section comprend les arthropathies dues à des agents microbiens.<P>Une distinction est faite entre les étiologies suivantes:<P>a) arthrite infectieuse directe, dans laquelle des organismes envahissent le tissu synovial et où un antigène microbien est présent dans l'articulation;<P>b) arthrite infectieuse indirecte qui peut être de deux types: arthropathie réactionnelle dans laquelle l'infection microbienne générale est identifiée mais sans identification d'organismes ni d'antigènes dans l'articulation et arthropathie post-infectieuse dans laquelle l'antigène microbien est présent mais la découverte de l'agent microbien est inconstante et la multiplication de celui-ci ne peut être mise en évidence.",false,"",definition,non_rendue,"définition somatique du glossaire OFS ; niveau chapitre/bloc — pas de fiche cible, ne descend pas",false,"",v1
575,(R00-R99),"",XVIII,1,chapitre,G,GLOSSAIRE,"Ce chapitre comprend les symptômes, les signes et les résultats anormaux d'examens cliniques ou autres, ainsi que les états morbides mal définis pour lesquels aucun diagnostic n'a été formulé qui puisse être classé ailleurs.<P>Les signes et symptômes qui orientent assez sérieusement vers un diagnostic donné sont classés dans une catégorie des autres chapitres de la Classification. En général, les catégories de ce chapitre comprennent les états et symptômes moins nettement définis qui, sans que le cas ait été suffisamment étudié pour permettre un diagnostic définitif, orientent vers deux maladies ou plus ou vers deux appareils ou plus du corps humain. Presque toutes les catégories de ce chapitre pourraient être désignées ""sans autre indication"", ""d'étiologie inconnue"" ou ""transitoire"". On consultera l'Index alphabétique pour décider des symptômes et des signes qui appartiennent à ce chapitre et non à un autre. Les sous-catégories numérotées .8 sont généralement réservées aux autres symptômes qui s'y rapportent et qui ne peuvent être classés ailleurs dans la Classification.<P>Les affections et les signes ou symptômes classés dans les catégories R00-R99 se rapportent: a) aux cas pour lesquels aucun diagnostic plus précis n'a pu être porté, même après examen de tous les faits s'y rapportant; b) aux signes ou symptômes existants lors de la première consultation, qui se sont avérés être transitoires et dont les causes n'ont pu être déterminées; c) aux diagnostics provisoires chez un malade qui n'est pas revenu pour d'autres investigations ou soins; d) aux cas de malades dirigés ailleurs pour examens complémentaires ou traitement avant que le diagnostic ne soit établi; e) aux cas dans lesquels un diagnostic plus précis n'a pu être établi pour toute autre raison et f) à certains symptômes pour lesquels des renseignements supplémentaires sont fournis, symptômes qui par eux-mêmes représentent des problèmes importants de soins médicaux.",false,"",definition,non_rendue,"définition somatique du glossaire OFS ; niveau chapitre/bloc — pas de fiche cible, ne descend pas",false,"",v1
576,(S00-T98),"",XIX,1,chapitre,G,GLOSSAIRE,"Le chapitre utilise la section S pour le codage de différents types de traumatismes localisés à une seule région du corps et la section T pour le codage des traumatismes ayant des localisations multiples ou de siège non précisé, ainsi que les empoisonnements et certaines autres conséquences de causes externes.<P>Dans les titres désignant des lésions traumatiques multiples, le mot ""avec"" indique l'association des deux localisations mentionnées et le mot ""et"" indique que l'on a affaire à l'une ou l'autre des deux localisations ou aux deux à la fois.<P>Le principe du codage multiple des lésions traumatiques sera appliqué chaque fois que cela est possible. On a prévu des catégories de combinaisons pour les traumatismes multiples lorsque la nature de chacun d'eux n'est pas indiquée de façon précise ou pour la mise en tableaux des causes principales quand il est plus commode de n'enregistrer qu'une seule cause. En dehors de ces cas, les divers composants des lésions traumatiques seront codés séparément. Se référer également aux règles et instructions du Volume 2 concernant le codage de la morbidité ou de la mortalité.",false,"",definition,non_rendue,"définition somatique du glossaire OFS ; niveau chapitre/bloc — pas de fiche cible, ne descend pas",false,"",v1
