code,chapter,filepath,libelle,has_perimetre,has_localisations,has_exclusions,has_consignes,has_formulations,type_mco,statut_mco,source_existence,nb_chars
F10.24,V,V/F10.24.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""utilise actuellement la drogue [dépendance active]""",true,false,true,false,false,0,codable,OWL_ANS,882
F10.240,V,V/F10.240.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""dépendance active sans signe physique""",true,false,true,true,false,0,codable,OWL_ANS,1390
F10.241,V,V/F10.241.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""dépendance active avec signe physique""",true,false,true,true,false,0,codable,OWL_ANS,1390
F10.25,V,V/F10.25.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""utilisation continue""",true,false,true,true,false,0,codable,OWL_ANS,1371
F10.26,V,V/F10.26.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""utilisation épisodique (dipsomanie)""",true,false,true,true,false,0,codable,OWL_ANS,1386
F10.3,V,V/F10.3.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Syndrome de sevrage """,true,false,true,false,true,0,codable,OWL_ANS,1136
F10.30,V,V/F10.30.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de sevrage"" - ""sans complication""",true,false,true,true,false,0,codable,OWL_ANS,1365
F10.31,V,V/F10.31.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de sevrage"" - ""avec convulsions""",true,false,true,true,false,0,codable,OWL_ANS,1364
F10.4,V,V/F10.4.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Syndrome de sevrage avec délirium """,true,false,true,false,true,0,codable,OWL_ANS,1141
F10.40,V,V/F10.40.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de sevrage avec délirium"" - ""sans convulsion""",true,false,true,true,false,0,codable,OWL_ANS,1377
F10.41,V,V/F10.41.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de sevrage avec délirium"" - ""avec convulsions""",true,false,true,true,false,0,codable,OWL_ANS,1378
F10.5,V,V/F10.5.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Trouble psychotique """,true,false,true,false,true,0,codable,OWL_ANS,1758
F10.50,V,V/F10.50.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble psychotique"" - ""d’allure schizophrénique""",true,false,true,true,false,0,codable,OWL_ANS,1593
F10.51,V,V/F10.51.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble psychotique"" - ""avec idées délirantes au premier plan""",true,false,true,true,false,0,codable,OWL_ANS,1606
F10.52,V,V/F10.52.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble psychotique"" - ""avec hallucinations au premier plan""",true,false,true,true,false,0,codable,OWL_ANS,1604
F10.53,V,V/F10.53.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble psychotique"" - ""avec symptômes polymorphes au premier plan""",true,false,true,true,false,0,codable,OWL_ANS,1611
F10.54,V,V/F10.54.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble psychotique"" - ""avec symptômes dépressifs au premier plan""",true,false,true,true,false,0,codable,OWL_ANS,1610
F10.55,V,V/F10.55.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble psychotique"" - ""avec symptômes maniaques au premier plan""",true,false,true,true,false,0,codable,OWL_ANS,1609
F10.56,V,V/F10.56.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble psychotique"" - ""mixte""",true,false,true,true,false,0,codable,OWL_ANS,1574
F10.6,V,V/F10.6.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Syndrome amnésique """,true,false,true,true,true,0,codable,OWL_ANS,1958
F10.7,V,V/F10.7.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Trouble résiduel ou psychotique de survenue tardive """,true,false,true,false,true,0,codable,OWL_ANS,1600
F10.70,V,V/F10.70.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble résiduel ou psychotique de survenue tardive"" - ""flashbacks""",true,false,true,true,false,0,codable,OWL_ANS,1693
F10.71,V,V/F10.71.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble résiduel ou psychotique de survenue tardive"" - ""trouble de la personnalité ou du comportement""",true,false,true,true,false,0,codable,OWL_ANS,1728
F10.72,V,V/F10.72.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble résiduel ou psychotique de survenue tardive"" - ""trouble thymique résiduel""",true,false,true,true,false,0,codable,OWL_ANS,1708
F10.73,V,V/F10.73.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble résiduel ou psychotique de survenue tardive"" - ""démence""",true,false,true,true,false,0,codable,OWL_ANS,1690
F10.74,V,V/F10.74.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble résiduel ou psychotique de survenue tardive"" - ""autre déficit cognitif persistant""",true,false,true,true,false,0,codable,OWL_ANS,1716
F10.75,V,V/F10.75.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Trouble résiduel ou psychotique de survenue tardive"" - ""trouble psychotique à début tardif """,true,false,true,true,false,0,codable,OWL_ANS,1718
F10.8,V,V/F10.8.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Autres troubles mentaux et du comportement """,true,false,true,true,true,0,codable,OWL_ANS,2364
F10.9,V,V/F10.9.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Trouble mental ou du comportement, sans précision """,true,false,true,true,true,0,codable,OWL_ANS,1443
F11.0,V,V/F11.0.md,"Troubles mentaux et du comportement liés à l'utilisation d'opiacés - "" Intoxication aigüe """,true,false,true,false,true,0,codable,OWL_ANS,1039
F11.00,V,V/F11.00.md,"Troubles mentaux et du comportement liés à l'utilisation d'opiacés - ""Intoxication aigüe"" - ""sans complication""",true,false,true,true,false,0,codable,OWL_ANS,1484
