code_maitre,cle,classe,sous_classe,code_atih,libelle
F01.212,F01212,connu de l'ATIH,type MCO 0,F01212,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F01.220,F01220,connu de l'ATIH,type MCO 0,F01220,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F01.221,F01221,connu de l'ATIH,type MCO 0,F01221,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F01.222,F01222,connu de l'ATIH,type MCO 0,F01222,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F01.230,F01230,connu de l'ATIH,type MCO 0,F01230,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F01.231,F01231,connu de l'ATIH,type MCO 0,F01231,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F01.232,F01232,connu de l'ATIH,type MCO 0,F01232,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F01.240,F01240,connu de l'ATIH,type MCO 0,F01240,"Démence vasculaire souscorticale - ""avec d’autres symptômes, mixtes"" - ""légère"""
F01.241,F01241,connu de l'ATIH,type MCO 0,F01241,"Démence vasculaire souscorticale - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F01.242,F01242,connu de l'ATIH,type MCO 0,F01242,"Démence vasculaire souscorticale - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F01.300,F01300,connu de l'ATIH,type MCO 0,F01300,"Démence vasculaire mixte, corticale et souscorticale - ""sans symptôme supplémentaire"" - ""légère"""
F01.301,F01301,connu de l'ATIH,type MCO 0,F01301,"Démence vasculaire mixte, corticale et souscorticale - ""sans symptôme supplémentaire"" - ""moyenne"""
F01.302,F01302,connu de l'ATIH,type MCO 0,F01302,"Démence vasculaire mixte, corticale et souscorticale - ""sans symptôme supplémentaire"" - ""sévère"""
F01.310,F01310,connu de l'ATIH,type MCO 0,F01310,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F01.311,F01311,connu de l'ATIH,type MCO 0,F01311,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F01.312,F01312,connu de l'ATIH,type MCO 0,F01312,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F01.320,F01320,connu de l'ATIH,type MCO 0,F01320,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F01.321,F01321,connu de l'ATIH,type MCO 0,F01321,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F01.322,F01322,connu de l'ATIH,type MCO 0,F01322,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F01.330,F01330,connu de l'ATIH,type MCO 0,F01330,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F01.331,F01331,connu de l'ATIH,type MCO 0,F01331,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F01.332,F01332,connu de l'ATIH,type MCO 0,F01332,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F01.340,F01340,connu de l'ATIH,type MCO 0,F01340,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, mixtes"" - ""légère"""
F01.341,F01341,connu de l'ATIH,type MCO 0,F01341,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F01.342,F01342,connu de l'ATIH,type MCO 0,F01342,"Démence vasculaire mixte, corticale et souscorticale - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F01.800,F01800,connu de l'ATIH,type MCO 0,F01800,"Autres formes de démence vasculaire - ""sans symptôme supplémentaire"" - ""légère"""
F01.801,F01801,connu de l'ATIH,type MCO 0,F01801,"Autres formes de démence vasculaire - ""sans symptôme supplémentaire"" - ""moyenne"""
F01.802,F01802,connu de l'ATIH,type MCO 0,F01802,"Autres formes de démence vasculaire - ""sans symptôme supplémentaire"" - ""sévère"""
F01.810,F01810,connu de l'ATIH,type MCO 0,F01810,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
