code_atih,type_mco,libelle_long,classe,sous_classe,code_maitre,ancetre_maitre
A523,0,"Syphilis nerveuse, sans précision",fiche (écriture directe),"",A52.3,""
A527,0,Autres formes tardives de syphilis symptomatique,fiche (écriture directe),"",A52.7,""
A528,0,"Syphilis tardive, latente",fiche (écriture directe),"",A52.8,""
A529,0,"Syphilis tardive, sans précision",fiche (écriture directe),"",A52.9,""
A530,0,"Syphilis latente, (non précisée précoce ou tardive)",fiche (écriture directe),"",A53.0,""
A539,0,"Syphilis, sans précision",fiche (écriture directe),"",A53.9,""
A540,0,"Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, (sans abcès périurétral ou des glandes annexes)",fiche (écriture directe),"",A54.0,""
A541,0,"Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, avec abcès périurétral et des glandes annexes",fiche (écriture directe),"",A54.1,""
A542,0,Pelvipéritonite gonococcique et autres infections génito-urinaires gonococciques,fiche (écriture directe),"",A54.2,""
A543,0,Infection gonococcique de l'oeil,fiche (écriture directe),"",A54.3,""
A544,0,Infection gonococcique du système ostéo-articulaire et des muscles,fiche (écriture directe),"",A54.4,""
A545,0,Pharyngite gonococcique,fiche (écriture directe),"",A54.5,""
A546,0,Infection gonococcique de l'anus et du rectum,fiche (écriture directe),"",A54.6,""
A548,0,Autres infections gonococciques,fiche (écriture directe),"",A54.8,""
A549,0,"Infection gonococcique, sans précision",fiche (écriture directe),"",A54.9,""
A55,0,Lymphogranulomatose vénérienne à Chlamydia,fiche (écriture directe),"",A55,""
A560,0,Infection à Chlamydia de la partie inférieure de l'appareil génito-urinaire,fiche (écriture directe),"",A56.0,""
A561,0,"Infection à Chlamydia, pelvi-péritonéale et des autres organes génito-urinaires",fiche (écriture directe),"",A56.1,""
A562,0,"Infection à Chlamydia de l'appareil génito-urinaire, sans précision",fiche (écriture directe),"",A56.2,""
A563,0,Infection à Chlamydia de l'anus et du rectum,fiche (écriture directe),"",A56.3,""
A564,0,Infection à Chlamydia du pharynx,fiche (écriture directe),"",A56.4,""
A568,0,"Infection à Chlamydia transmise par voie sexuelle, autres localisations",fiche (écriture directe),"",A56.8,""
A57,0,Chancre mou,fiche (écriture directe),"",A57,""
A58,0,Granulome inguinal,fiche (écriture directe),"",A58,""
A590,0,Trichomonase uro-génitale,fiche (écriture directe),"",A59.0,""
A598,0,Autres localisations de trichomonase,fiche (écriture directe),"",A59.8,""
A599,0,"Trichomonase, sans précision",fiche (écriture directe),"",A59.9,""
A600,0,Infection des organes génitaux et de l'appareil génito-urinaire par le virus de l'herpès,fiche (écriture directe),"",A60.0,""
A601,0,"Infection de la marge cutanée de l'anus et du rectum, par le virus de l'herpès",fiche (écriture directe),"",A60.1,""
A609,0,"Infection ano-génitale par le virus de l'herpès, sans précision",fiche (écriture directe),"",A60.9,""
A6300,0,Condylomes anaux (vénériens),fiche (écriture directe),"",A63.00,""
A6308,0,Autres condylomes ano-génitaux (vénériens),fiche (écriture directe),"",A63.08,""
A638,0,Autres maladies précisées dont le mode de transmission est essentiellement sexuel,fiche (écriture directe),"",A63.8,""
A64,1,"Maladie sexuellement transmise, sans précision",fiche (écriture directe),"",A64,""
A65,0,Syphilis non vénérienne,fiche (écriture directe),"",A65,""
A660,0,Lésions initiales du pian,fiche (écriture directe),"",A66.0,""
A661,0,Papillomes multiples et pian plantaire humide (pian-crabe),fiche (écriture directe),"",A66.1,""
A662,0,Autres lésions cutanées précoces du pian,fiche (écriture directe),"",A66.2,""
A663,0,Hyperkératose pianique,fiche (écriture directe),"",A66.3,""
A664,0,Gommes et ulcères pianiques,fiche (écriture directe),"",A66.4,""
A665,0,Gangosa,fiche (écriture directe),"",A66.5,""
A666,0,Lésions ostéo-articulaires pianiques,fiche (écriture directe),"",A66.6,""
A667,0,Autres manifestations du pian,fiche (écriture directe),"",A66.7,""
A668,0,Pian latent,fiche (écriture directe),"",A66.8,""
A669,0,"Pian, sans précision",fiche (écriture directe),"",A66.9,""
A670,0,Lésions initiales de la pinta,fiche (écriture directe),"",A67.0,""
A671,0,Lésions intermédiaires de la pinta,fiche (écriture directe),"",A67.1,""
A672,0,Lésions tardives de la pinta,fiche (écriture directe),"",A67.2,""
A673,0,Lésions mixtes de la pinta,fiche (écriture directe),"",A67.3,""
A679,0,"Pinta, sans précision",fiche (écriture directe),"",A67.9,""
A680,0,Fièvre récurrente [borréliose] à poux,fiche (écriture directe),"",A68.0,""
A681,0,Fièvre récurrente [borréliose] à tiques,fiche (écriture directe),"",A68.1,""
A689,0,"Fièvre récurrente [borréliose], sans précision",fiche (écriture directe),"",A68.9,""
A690,0,Stomatite ulcéro-nécrotique,fiche (écriture directe),"",A69.0,""
A691,0,Autres infections dites de Vincent,fiche (écriture directe),"",A69.1,""
A692,0,Maladie de Lyme,fiche (écriture directe),"",A69.2,""
A698,0,Autres infections à spirochètes précisées,fiche (écriture directe),"",A69.8,""
A699,0,"Infection à spirochètes, sans précision",fiche (écriture directe),"",A69.9,""
A70,0,Infection à Chlamydia psittaci,fiche (écriture directe),"",A70,""
A710,0,Phase initiale du trachome,fiche (écriture directe),"",A71.0,""
A711,0,Phase active du trachome,fiche (écriture directe),"",A71.1,""
A719,0,"Trachome, sans précision",fiche (écriture directe),"",A71.9,""
A740,0,Conjonctivite à Chlamydia (H13.1*),fiche (écriture directe),"",A74.0,""
A748,0,Autres infections à Chlamydia précisées,fiche (écriture directe),"",A74.8,""
A749,0,"Infection à Chlamydia, sans précision",fiche (écriture directe),"",A74.9,""
A750,0,Typhus épidémique à poux dû à Rickettsia prowazekii,fiche (écriture directe),"",A75.0,""
A751,0,Typhus résurgent [maladie de Brill],fiche (écriture directe),"",A75.1,""
A752,0,Typhus à Rickettsia typhi,fiche (écriture directe),"",A75.2,""
A753,0,Typhus à Rickettsia tsutsugamushi,fiche (écriture directe),"",A75.3,""
A759,0,"Typhus, sans précision",fiche (écriture directe),"",A75.9,""
A770,0,Fièvre pourprée à Rickettsia rickettsii,fiche (écriture directe),"",A77.0,""
A771,0,Fièvre pourprée à Rickettsia conorii,fiche (écriture directe),"",A77.1,""
A772,0,Fièvre pourprée due à Rickettsia sibirica,fiche (écriture directe),"",A77.2,""
A773,0,Fièvre pourprée due à Rickettsia australis,fiche (écriture directe),"",A77.3,""
A778,0,Autres fièvres pourprées,fiche (écriture directe),"",A77.8,""
A779,0,"Fièvre pourprée, sans précision",fiche (écriture directe),"",A77.9,""
A78,0,Fièvre Q,fiche (écriture directe),"",A78,""
A790,0,Fièvres des tranchées,fiche (écriture directe),"",A79.0,""
A791,0,Rickettsiose varicelliforme due à Rickettsia akari,fiche (écriture directe),"",A79.1,""
A798,0,Autres types précisés de rickettsiose,fiche (écriture directe),"",A79.8,""
A799,0,"Rickettsiose, sans précision",fiche (écriture directe),"",A79.9,""
A800,0,"Poliomyélite paralytique aiguë, associée au virus vaccinal",fiche (écriture directe),"",A80.0,""
A801,0,"Poliomyélite paralytique aiguë, virus sauvage importé",fiche (écriture directe),"",A80.1,""
A802,0,"Poliomyélite paralytique aiguë, virus sauvage indigène",fiche (écriture directe),"",A80.2,""
A803,0,"Poliomyélites paralytiques aiguës, autres et sans précision",fiche (écriture directe),"",A80.3,""
A804,0,Poliomyélite aiguë non paralytique,fiche (écriture directe),"",A80.4,""
A809,0,"Poliomyélite aiguë, sans précision",fiche (écriture directe),"",A80.9,""
A810,0,Maladie de Creutzfeldt-Jakob,fiche (écriture directe),"",A81.0,""
A811,0,Panencéphalite sclérosante subaiguë,fiche (écriture directe),"",A81.1,""
A812,0,Leucoencéphalopathie multifocale (progressive),fiche (écriture directe),"",A81.2,""
A818,0,"Autres infections atypiques à virus, du système nerveux central",fiche (écriture directe),"",A81.8,""
