code,chapter,fichier,libelle,n_enfants,has_perimetre,has_exclusions,has_formulations,type_mco,statut_mco,nb_chars,format_version
C63,II,II/C63.md,"Tumeur maligne des organes génitaux de l'homme, autres et non précisés",6,true,false,true,3,pere_interdit,2023,1
C64,II,II/C64.md,"Tumeur maligne du rein, à l'exception du bassinet",0,false,true,true,0,codable,1559,1
C65,II,II/C65.md,Tumeur maligne du bassinet,0,true,false,true,0,codable,1359,1
C66,II,II/C66.md,Tumeur maligne de l'uretère,0,false,true,true,0,codable,1285,1
C67,II,II/C67.md,Tumeur maligne de la vessie,10,true,false,true,3,pere_interdit,1965,1
C68,II,II/C68.md,"Tumeur maligne des organes urinaires, autres et non précisés",4,true,true,true,3,pere_interdit,2012,1
C69,II,II/C69.md,Tumeur maligne de l'oeil et de ses annexes,9,true,true,true,3,pere_interdit,2855,1
C70,II,II/C70.md,Tumeur maligne des méninges,3,false,false,true,3,pere_interdit,1427,1
C71,II,II/C71.md,Tumeur maligne de l'encéphale,10,true,true,true,3,pere_interdit,2450,1
C72,II,II/C72.md,"Tumeur maligne de la moelle épinière, des nerfs crâniens et d'autres parties du système nerveux central",8,true,true,true,3,pere_interdit,2459,1
C73,II,II/C73.md,Tumeur maligne de la thyroïde,0,false,false,true,0,codable,1314,1
C74,II,II/C74.md,Tumeur maligne de la surrénale,3,false,false,true,3,pere_interdit,1575,1
C75,II,II/C75.md,Tumeur maligne d'autres glandes endocrines et structures apparentées,8,false,true,true,3,pere_interdit,2148,1
C76,II,II/C76.md,Tumeur maligne de sièges autres et mal définis,8,true,true,true,3,pere_interdit,2515,1
C77,II,II/C77.md,"Tumeur maligne des ganglions lymphatiques, secondaire et non précisée",8,true,true,true,3,pere_interdit,2633,1
C78,II,II/C78.md,Tumeur maligne secondaire des organes respiratoires et digestifs,9,true,false,true,3,pere_interdit,2554,1
C79,II,II/C79.md,Tumeur maligne secondaire de sièges autres et non précisés,10,true,false,true,3,pere_interdit,3241,1
C80,II,II/C80.md,Tumeur maligne de siège non précisé,2,true,true,true,3,pere_interdit,1615,1
C81,II,II/C81.md,Lymphome de Hodgkin,7,true,true,true,3,pere_interdit,2685,1
C82,II,II/C82.md,Lymphome folliculaire,9,true,true,true,3,pere_interdit,2601,1
C83,II,II/C83.md,Lymphome non folliculaire,7,true,true,true,3,pere_interdit,3606,1
C84,II,II/C84.md,Lymphomes à cellules T/NK matures,8,true,true,true,3,pere_interdit,3171,1
C85,II,II/C85.md,"Lymphome non hodgkinien, de types autres et non précisés",4,true,true,true,3,pere_interdit,2420,1
C86,II,II/C86.md,Autres types précisés de lymphomes à cellules T/NK,7,true,true,true,3,pere_interdit,2416,1
C88,II,II/C88.md,Maladies immunoprolifératives malignes,6,true,true,true,3,pere_interdit,2836,1
C90,II,II/C90.md,Myélome multiple et tumeurs malignes à plasmocytes,4,true,true,true,3,pere_interdit,2324,1
C91,II,II/C91.md,Leucémie lymphoïde,9,true,true,true,3,pere_interdit,2882,1
C92,II,II/C92.md,Leucémie myéloïde,10,true,true,true,3,pere_interdit,3655,1
C93,II,II/C93.md,Leucémie monocytaire,5,true,true,true,3,pere_interdit,2227,1
C94,II,II/C94.md,Autres leucémies à cellules précisées,6,true,true,true,3,pere_interdit,2674,1
C95,II,II/C95.md,Leucémie à cellules non précisées,4,true,true,true,3,pere_interdit,2284,1
C96,II,II/C96.md,"Tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés, autres et non précisées",8,true,true,true,3,pere_interdit,3450,1
C97,II,II/C97.md,Tumeurs malignes de sièges multiples indépendants (primitifs),0,false,false,false,1,interdit_dp_dr,291,1
D00,II,II/D00.md,"Carcinome in situ de la cavité buccale, de l'œsophage et de l'estomac",3,true,true,true,3,pere_interdit,2174,1
D01,II,II/D01.md,"Carcinome in situ des organes digestifs, autres et non précisés",8,true,true,true,3,pere_interdit,2157,1
D02,II,II/D02.md,Carcinome in situ de l'oreille moyenne et de l'appareil respiratoire,5,true,true,true,3,pere_interdit,2015,1
D03,II,II/D03.md,Mélanome in situ,10,true,false,true,3,pere_interdit,1950,1
D04,II,II/D04.md,Carcinome in situ de la peau,10,true,true,true,3,pere_interdit,2390,1
D05,II,II/D05.md,Carcinome in situ du sein,4,true,true,true,3,pere_interdit,1271,1
D06,II,II/D06.md,Carcinome in situ du col de l'utérus,4,true,true,true,3,pere_interdit,1398,1
D07,II,II/D07.md,"Carcinome in situ d'organes génitaux, autres et non précisés",7,true,true,true,3,pere_interdit,2199,1
D09,II,II/D09.md,Carcinome in situ de sièges autres et non précisés,6,true,true,true,3,pere_interdit,1821,1
D10,II,II/D10.md,Tumeur bénigne de la bouche et du pharynx,9,true,true,true,3,pere_interdit,2363,1
D11,II,II/D11.md,Tumeur bénigne des glandes salivaires principales,3,true,true,true,3,pere_interdit,1529,1
D12,II,II/D12.md,"Tumeur bénigne du côlon, du rectum, de l'anus et du canal anal",10,true,true,true,3,pere_interdit,2421,1
D13,II,II/D13.md,Tumeurs bénignes de parties autres et mal définies de l'appareil digestif,9,true,true,true,3,pere_interdit,2116,1
D14,II,II/D14.md,Tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire,5,true,true,true,3,pere_interdit,2068,1
D15,II,II/D15.md,"Tumeur bénigne des organes intrathoraciques, autres et non précisés",5,true,true,true,3,pere_interdit,1503,1
D16,II,II/D16.md,Tumeur bénigne des os et du cartilage articulaire,10,true,true,true,3,pere_interdit,2769,1
D17,II,II/D17.md,Tumeur lipomateuse bénigne,9,true,true,true,3,pere_interdit,2435,1
D18,II,II/D18.md,"Hémangiome et lymphangiome, tout siège",2,true,true,true,3,pere_interdit,2366,1
D19,II,II/D19.md,Tumeur bénigne du tissu mésothélial,4,true,false,true,3,pere_interdit,852,1
D20,II,II/D20.md,Tumeur bénigne des tissus mous du rétropéritoine et du péritoine,2,true,true,true,3,pere_interdit,835,1
D21,II,II/D21.md,Autres tumeurs bénignes du tissu conjonctif et des autres tissus mous,8,true,true,true,3,pere_interdit,4143,1
D22,II,II/D22.md,Nævus à mélanocytes,9,true,false,true,3,pere_interdit,2535,1
D23,II,II/D23.md,Autres tumeurs bénignes de la peau,9,true,true,true,3,pere_interdit,3094,1
