code,type,texte_retenu,texte_alternatif_ans,libelles_identiques_apres_normalisation,difference_significative
F45.4,exclusion,mal de dos SAI,"céphalée de tension [G44.2]
douleur :
 - SAI [R52.9] 
 - aigüe [R52.0] 
 - chronique [R52.2] 
 - irréductible [R52.1] 
mal de dos SAI [M54.9] 
",false,true
F48.0,exclusion,asthénie SAI,"asthénie SAI [R53.+2]
malaise ou fatigue [R53.–]
psychasthénie [F48.8]
surmenage [Z73.0]
syndrome de fatigue postvirale [G93.3]
",false,true
F48.0,exclusion,malaise ou fatigue,"asthénie SAI [R53.+2]
malaise ou fatigue [R53.–]
psychasthénie [F48.8]
surmenage [Z73.0]
syndrome de fatigue postvirale [G93.3]
",false,true
F48.0,exclusion,psychasthénie,"asthénie SAI [R53.+2]
malaise ou fatigue [R53.–]
psychasthénie [F48.8]
surmenage [Z73.0]
syndrome de fatigue postvirale [G93.3]
",false,true
F48.0,exclusion,surmenage,"asthénie SAI [R53.+2]
malaise ou fatigue [R53.–]
psychasthénie [F48.8]
surmenage [Z73.0]
syndrome de fatigue postvirale [G93.3]
",false,true
F48.0,exclusion,syndrome de fatigue post-virale,"asthénie SAI [R53.+2]
malaise ou fatigue [R53.–]
psychasthénie [F48.8]
surmenage [Z73.0]
syndrome de fatigue postvirale [G93.3]
",false,true
F50,exclusion,anorexie SAI,"anorexie SAI [R63.0]
difficultés nutritionnelles et nutrition inadaptée [R63.3]
polyphagie [R63.2]
troubles de l'alimentation du nourrisson et de l'enfant [F98.2]
",false,true
F50,exclusion,difficultés nutritionnelles et nutrition inadaptée,"anorexie SAI [R63.0]
difficultés nutritionnelles et nutrition inadaptée [R63.3]
polyphagie [R63.2]
troubles de l'alimentation du nourrisson et de l'enfant [F98.2]
",false,true
F50,exclusion,polyphagie,"anorexie SAI [R63.0]
difficultés nutritionnelles et nutrition inadaptée [R63.3]
polyphagie [R63.2]
troubles de l'alimentation du nourrisson et de l'enfant [F98.2]
",false,true
F50,exclusion,troubles de l'alimentation du nourrisson et de l'enfant,"anorexie SAI [R63.0]
difficultés nutritionnelles et nutrition inadaptée [R63.3]
polyphagie [R63.2]
troubles de l'alimentation du nourrisson et de l'enfant [F98.2]
",false,true
F50.0,exclusion,perte d'appétit,"perte d'appétit  [R63.0]  - psychogène  [F50.8] 
",false,true
F50.0,exclusion,perte d'appétit psychogène,"perte d'appétit  [R63.0]  - psychogène  [F50.8] 
",false,true
F50.4,exclusion,obésité,"obésité [E66.-]
",false,true
F50.5,exclusion,nausées,"nausées [R11]
vomissements SAI [R11]
",false,true
F50.5,exclusion,vomissements SAI,"nausées [R11]
vomissements SAI [R11]
",false,true
F50.8,exclusion,pica du nourrisson et de l'enfant,"pica du nourrisson et de l'enfant [F98.3]
",false,true
F51,exclusion,troubles du sommeil d'origine organique,"troubles du sommeil d'origine organique [G47.-]
",false,true
F51.0,exclusion,insomnie organique,"insomnie organique [G47.0]
",false,true
F51.1,exclusion,hypersomnie organique,"hypersomnie organique [G47.1]
narcolepsie [G47.4]
",false,true
F51.1,exclusion,narcolepsie,"hypersomnie organique [G47.1]
narcolepsie [G47.4]
",false,true
F51.2,exclusion,troubles du cycle veille-sommeil d'origine organique,"troubles du cycle veille-sommeil d'origine organique [G47.2]
",false,true
F52,exclusion,syndrome de Dhat,"syndrome de Dhat [F48.8]
",false,true
F52.2,exclusion,impuissance d'origine organique,"impuissance d'origine organique [N48.4]
",false,true
F52.5,exclusion,vaginisme organique,"vaginisme organique [N94.2]
",false,true
F52.6,exclusion,dyspareunie organique,"dyspareunie organique [N94.1]
",false,true
F54,exclusion,céphalée dite de tension,"céphalée dite de tension [G44.2]
",false,true
F55,exclusion,abus de substances psycho-actives,"abus de substances psychoactives [F10-F19]
",false,true
F60.0,exclusion,paranoïa,"état paranoïaque [F22.0]
paranoïa [F22.0]  - quérulente [F22.8] 
psychose paranoïaque [F22.0] 
schizophrénie paranoïde [F20.0] 
",false,true
