code,field,owl_value,ofs_value,resolved_to
M90.47,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Cheville et pied """,ostéonécrose due à une hémoglobinopathie | cheville et pied,OWL_ANS
M90.48,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Autres """,ostéonécrose due à une hémoglobinopathie | autres,OWL_ANS
M90.49,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Siège non précisé """,ostéonécrose due à une hémoglobinopathie | siège non précisé,OWL_ANS
M90.50,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Sièges multiples """,ostéonécrose au cours d'autres maladies classées ailleurs | sièges multiples,OWL_ANS
M90.51,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Région scapulaire """,ostéonécrose au cours d'autres maladies classées ailleurs | région scapulaire,OWL_ANS
M90.52,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Bras """,ostéonécrose au cours d'autres maladies classées ailleurs | bras,OWL_ANS
M90.53,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Avant-bras """,ostéonécrose au cours d'autres maladies classées ailleurs | avant-bras,OWL_ANS
M90.54,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Main """,ostéonécrose au cours d'autres maladies classées ailleurs | main,OWL_ANS
M90.55,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Région pelvienne et cuisse """,ostéonécrose au cours d'autres maladies classées ailleurs | région pelvienne et cuisse,OWL_ANS
M90.56,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Jambe """,ostéonécrose au cours d'autres maladies classées ailleurs | jambe,OWL_ANS
M90.57,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Cheville et pied """,ostéonécrose au cours d'autres maladies classées ailleurs | cheville et pied,OWL_ANS
M90.58,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Autres """,ostéonécrose au cours d'autres maladies classées ailleurs | autres,OWL_ANS
M90.59,label,"Ostéonécrose au cours d'autres maladies classées ailleurs - "" Siège non précisé """,ostéonécrose au cours d'autres maladies classées ailleurs | siège non précisé,OWL_ANS
M90.60,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Sièges multiples """,ostéite déformante au cours de maladies tumorales | sièges multiples,OWL_ANS
M90.61,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Région scapulaire """,ostéite déformante au cours de maladies tumorales | région scapulaire,OWL_ANS
M90.62,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Bras """,ostéite déformante au cours de maladies tumorales | bras,OWL_ANS
M90.63,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Avant-bras """,ostéite déformante au cours de maladies tumorales | avant-bras,OWL_ANS
